miRNA,p_value,fold_change
hsa-miR-2277-5p,0.02777804439655864,1.2161604676249336
hsa-miR-2355-5p,0.007992072643420797,2.050808958921882
hsa-miR-25-5p,0.007123287595059393,-1.2770307683243343
hsa-miR-26a-2-3p,0.01929135346204552,1.2727769785372844
hsa-miR-26b-3p,6.590369345907774e-06,1.3764133033596986
hsa-miR-299-5p,0.023336963467042823,inf
hsa-miR-301a-5p,1.1817281662187376e-05,1.755229981700006
hsa-miR-301b,0.008604348013454357,1.399489078181015
hsa-miR-3065-3p,0.020395839030112127,1.7898212922728556
hsa-miR-3065-5p,0.005170333791710162,1.2868242939314467
hsa-miR-3117-3p,0.0036182734912260654,3.4891789620313487
hsa-miR-3129-3p,0.012393305805619132,inf
hsa-miR-3159,0.018175772549462295,inf
hsa-miR-3165,0.03721891107981394,inf
hsa-miR-3173-5p,0.0007201938449959612,1.0823843544486045
hsa-miR-3180-5p,0.0007641884231522026,inf
hsa-miR-3184-5p,0.011760722114554766,inf
hsa-miR-32-3p,0.010053487000738548,1.2442791412853318
hsa-miR-320e,0.020461746713085184,-1.2045876104571338
hsa-miR-335-3p,0.0016776985603318751,1.096417058549002
hsa-miR-337-3p,0.008785014431213054,2.275999184011189
hsa-miR-338-3p,0.027171089062450148,1.1095625396966189
hsa-miR-339-5p,9.324657015049827e-06,1.1415847900603813
hsa-miR-340-3p,4.2809730545789383e-07,1.518968550455161
hsa-miR-340-5p,1.44499669857302e-06,1.1752003001961233
hsa-miR-3613-5p,0.0006132496268817861,1.2004411080228898
hsa-miR-362-3p,0.01101290788137357,inf
hsa-miR-365b-3p,0.02975145111195836,3.1598713367783895
hsa-miR-369-5p,0.0003239347494621096,1.9475193014290344
hsa-miR-3691-3p,0.03207296056767358,inf
hsa-miR-374c-5p,0.03272504654015476,3.0316830676088995
hsa-miR-376c-3p,0.01879449476257171,1.9790704559944066
hsa-miR-377-3p,0.005744338135505481,2.448069811603792
hsa-miR-378a-3p,0.00010213592482344104,-1.1507906803511845
hsa-miR-378c,0.03146225988628449,-1.3793852951579866
hsa-miR-378d,0.01136423199670777,-1.5355033262798459
hsa-miR-378i,0.01856585800914011,-1.5729898590550804
hsa-miR-380-3p,0.013469379001039158,inf
hsa-miR-382-3p,0.00541179004086376,1.2100121249433047
hsa-miR-3942-3p,0.036093083690267806,inf
hsa-miR-411-3p,0.00046485523355297673,1.5359914255959142
hsa-miR-429,0.0009537342602199966,1.4291330181042583
hsa-miR-4326,0.006331905381586181,1.0635983302556054
hsa-miR-433-5p,0.0076433267453668635,4.655828831440801
hsa-miR-4433-3p,0.04564479384417166,1.2724135274027346
hsa-miR-454-5p,8.696032451398124e-06,1.4140699241805312
hsa-miR-4647,0.032541019845259,-2.4095623692126926
hsa-miR-4659b-3p,5.581678897556637e-05,1.1944976798880222
hsa-miR-4732-5p,0.007421853537389828,-1.8713776639191624
hsa-miR-4738-3p,0.0185141972016295,-1.0146149806820082
hsa-miR-4772-3p,0.01576664572998695,-1.4838860348832865
hsa-miR-4775,0.00482353606498501,2.8951285884822338
hsa-miR-4777-3p,0.04012315001415506,2.707359132080883
hsa-miR-4783-3p,0.04943586345617566,inf
hsa-miR-4796-5p,0.013658266156675761,inf
hsa-miR-4800-3p,0.027436521293783295,inf
hsa-miR-485-3p,3.7849603081783646e-05,1.231050349146385
hsa-miR-486-5p,0.0003000455305275354,-1.3245297593626204
hsa-miR-487a-3p,0.04583824582010158,1.1873520732004965
hsa-miR-495-3p,0.004099466944284864,1.4332505667202604
hsa-miR-4999-3p,0.03920253848009224,inf
hsa-miR-505-3p,0.0002694179071045416,1.1353624968308094
hsa-miR-5189-5p,0.02693894053096467,-1.16015030064507
hsa-miR-5193,0.0009975790930914245,2.437539012788455
hsa-miR-520d-5p,0.04252694990550216,inf
hsa-miR-539-3p,0.004820909336396315,1.6482650826296743
