ID	adj.P.Val	P.Value	logFC	miRNA_ID
hsa-miR-519d-3p	0.8988	0.6196547	-0.47797	hsa-miR-519d-3p
hsa-miR-1203	0.8988	0.6206933	-0.47977	hsa-miR-1203
hsa-miR-552-3p	0.8988	0.6210293	-0.206	hsa-miR-552-3p
hsa-miR-129-5p	0.8988	0.6219668	0.15021	hsa-miR-129-5p
hsa-miR-548k	0.902	0.6253155	-0.2589	hsa-miR-548k
hsa-miR-3615	0.905	0.6284491	-0.18519	hsa-miR-3615
hsa-miR-1307-3p	0.9074	0.6312136	-0.42947	hsa-miR-1307-3p
hsa-miR-5196-5p	0.9078	0.6325999	-0.40757	hsa-miR-5196-5p
hsa-miR-1304-5p	0.9079	0.633743	-0.38807	hsa-miR-1304-5p
LIG_POS_A	0.9079	0.6358254	0.05258	
NEG_D	0.9079	0.6359912	0.43421	
hsa-miR-922	0.9082	0.6372791	-0.2737	hsa-miR-922
hsa-miR-519b-5p+hsa-miR-519c-5p+hsa-miR-523-5p+hsa-miR-518e-5p+hsa-miR-522-5p+hsa-miR-519a-5p	0.9095	0.6392657	0.26466	hsa-miR-519b-5p+hsa-miR-519c-5p+hsa-miR-523-5p+hsa-miR-518e-5p+hsa-miR-522-5p+hsa-miR-519a-5p
hsa-miR-485-5p	0.9105	0.6412914	-0.13064	hsa-miR-485-5p
hsa-miR-548aa+hsa-miR-548t-3p	0.9105	0.643013	-0.35633	hsa-miR-548aa+hsa-miR-548t-3p
hsa-miR-942-5p	0.9105	0.6437757	-0.17579	hsa-miR-942-5p
hsa-miR-885-3p	0.9105	0.6443879	-0.28081	hsa-miR-885-3p
hsa-miR-1257	0.9129	0.6497839	0.30623	hsa-miR-1257
hsa-miR-147a	0.9129	0.6502185	-0.41694	hsa-miR-147a
hsa-miR-410-3p	0.9129	0.6506882	-0.1317	hsa-miR-410-3p
hsa-miR-214-3p	0.9129	0.6514941	-0.37773	hsa-miR-214-3p
hsa-miR-1276	0.9129	0.6516007	-0.18398	hsa-miR-1276
LIG_NEG_C	0.913	0.6567599	0.47385	
hsa-miR-526a+hsa-miR-518c-5p+hsa-miR-518d-5p	0.913	0.6570607	-0.29564	hsa-miR-526a+hsa-miR-518c-5p+hsa-miR-518d-5p
hsa-miR-342-3p	0.913	0.658721	0.32609	hsa-miR-342-3p
cel-miR-248	0.913	0.6590124	0.10213	cel-miR-248
hsa-miR-571	0.913	0.6593636	-0.37374	hsa-miR-571
hsa-miR-34c-3p	0.913	0.6604247	-0.3286	hsa-miR-34c-3p
hsa-miR-128-2-5p	0.913	0.6610751	-0.12142	hsa-miR-128-2-5p
hsa-miR-34c-5p	0.913	0.6610751	-0.12142	hsa-miR-34c-5p
hsa-miR-579-5p	0.913	0.6625843	0.40194	hsa-miR-579-5p
POS_D	0.913	0.6626817	-0.08566	
hsa-miR-409-3p	0.9182	0.667567	-0.18224	hsa-miR-409-3p
hsa-miR-151a-3p	0.9198	0.669863	0.2344	hsa-miR-151a-3p
hsa-miR-1206	0.925	0.6753517	0.31532	hsa-miR-1206
hsa-miR-107	0.925	0.6758851	-0.20601	hsa-miR-107
hsa-miR-484	0.9297	0.6804144	-0.185	hsa-miR-484
hsa-miR-424-5p	0.9323	0.6839517	-0.35043	hsa-miR-424-5p
B2M	0.9323	0.6850733	0.37072	
hsa-miR-4787-5p	0.9323	0.6857316	-0.37619	hsa-miR-4787-5p
hsa-miR-5010-3p	0.9347	0.688612	-0.09315	hsa-miR-5010-3p
hsa-miR-4741	0.9359	0.6918988	0.16526	hsa-miR-4741
hsa-miR-3928-3p	0.9359	0.6919128	0.33401	hsa-miR-3928-3p
hsa-let-7e-5p	0.9359	0.696128	-0.20132	hsa-let-7e-5p
hsa-miR-302e	0.9359	0.6973169	0.3243	hsa-miR-302e
hsa-miR-513c-5p	0.9359	0.6979152	-0.23482	hsa-miR-513c-5p
hsa-let-7b-5p	0.9359	0.6989941	0.12064	hsa-let-7b-5p
hsa-miR-548y	0.9359	0.6994909	-0.22437	hsa-miR-548y
hsa-miR-548ar-5p	0.9359	0.7033132	-0.36546	hsa-miR-548ar-5p
POS_C	0.9359	0.7040299	0.06064	
hsa-miR-193b-3p	0.9359	0.7055852	-0.07763	hsa-miR-193b-3p
hsa-miR-499b-5p	0.9359	0.7055904	-0.31237	hsa-miR-499b-5p
hsa-miR-190a-3p	0.9359	0.7060415	-0.35383	hsa-miR-190a-3p
hsa-miR-146b-5p	0.9359	0.7073842	-0.17089	hsa-miR-146b-5p
hsa-miR-1306-3p	0.9359	0.7076416	0.18246	hsa-miR-1306-3p
hsa-miR-591	0.9359	0.7085366	-0.31306	hsa-miR-591
hsa-miR-1234-3p	0.9359	0.708756	-0.3039	hsa-miR-1234-3p
hsa-miR-379-5p	0.9359	0.7094398	0.30589	hsa-miR-379-5p
hsa-miR-770-5p	0.9359	0.7110082	-0.27974	hsa-miR-770-5p
hsa-let-7c-5p	0.9359	0.7111542	0.29381	hsa-let-7c-5p
hsa-miR-1224-5p	0.9359	0.7166264	0.10604	hsa-miR-1224-5p
hsa-miR-186-5p	0.9359	0.7170644	-0.25464	hsa-miR-186-5p
hsa-miR-376a-2-5p	0.9359	0.7172183	-0.32776	hsa-miR-376a-2-5p
hsa-miR-660-3p	0.9359	0.7172935	-0.15237	hsa-miR-660-3p
hsa-miR-584-3p	0.9359	0.7174706	0.15458	hsa-miR-584-3p
hsa-miR-217	0.9359	0.7177657	-0.33662	hsa-miR-217
hsa-miR-3195	0.9398	0.7219935	-0.09779	hsa-miR-3195
hsa-miR-95-3p	0.9398	0.723678	-0.19693	hsa-miR-95-3p
hsa-miR-140-5p	0.9398	0.724154	-0.32027	hsa-miR-140-5p
hsa-miR-3613-5p	0.9403	0.7256615	0.20582	hsa-miR-3613-5p
hsa-miR-301a-3p	0.9407	0.7271447	-0.16936	hsa-miR-301a-3p
hsa-miR-128-1-5p	0.9414	0.7288186	-0.25886	hsa-miR-128-1-5p
hsa-miR-92b-3p	0.942	0.7304124	-0.28593	hsa-miR-92b-3p
hsa-miR-518e-3p	0.9434	0.7335932	0.12692	hsa-miR-518e-3p
hsa-miR-509-3p	0.9434	0.7337503	-0.27254	hsa-miR-509-3p
hsa-miR-219a-5p	0.9452	0.7363117	0.15846	hsa-miR-219a-5p
hsa-miR-371b-5p	0.9455	0.7382738	-0.30391	hsa-miR-371b-5p
hsa-miR-181c-5p	0.9455	0.7388357	-0.07718	hsa-miR-181c-5p
hsa-miR-582-5p	0.9477	0.7418761	0.18566	hsa-miR-582-5p
hsa-miR-671-5p	0.9477	0.7438897	-0.23045	hsa-miR-671-5p
hsa-miR-210-5p	0.9477	0.744001	0.10483	hsa-miR-210-5p
hsa-miR-561-3p	0.9482	0.7461159	-0.1163	hsa-miR-561-3p
hsa-miR-301a-5p	0.9482	0.7466429	-0.15168	hsa-miR-301a-5p
hsa-miR-3136-5p	0.9489	0.7507819	0.17754	hsa-miR-3136-5p
hsa-miR-548e-5p	0.9489	0.7521729	0.06802	hsa-miR-548e-5p
hsa-miR-30a-5p	0.9489	0.7541189	0.18209	hsa-miR-30a-5p
hsa-miR-139-3p	0.9489	0.7544324	-0.27958	hsa-miR-139-3p
hsa-miR-125b-5p	0.9489	0.754906	0.13375	hsa-miR-125b-5p
hsa-miR-1228-3p	0.9489	0.7550354	-0.12235	hsa-miR-1228-3p
hsa-miR-548a-5p	0.9489	0.7554259	-0.21005	hsa-miR-548a-5p
LIG_POS_C	0.9489	0.7572068	0.04899	
hsa-miR-1205	0.9489	0.7575326	-0.25727	hsa-miR-1205
hsa-miR-578	0.9521	0.7619042	0.0966	hsa-miR-578
hsa-miR-891b	0.9521	0.7632473	0.12624	hsa-miR-891b
hsa-miR-548ak	0.9521	0.7640829	0.17637	hsa-miR-548ak
hsa-miR-4284	0.9521	0.7646387	0.07928	hsa-miR-4284
hsa-miR-548i	0.9531	0.7666497	-0.23854	hsa-miR-548i
hsa-miR-377-3p	0.96	0.7733334	0.14855	hsa-miR-377-3p
hsa-miR-888-5p	0.9629	0.7768355	-0.13895	hsa-miR-888-5p
hsa-miR-200c-3p	0.9635	0.7784627	-0.22514	hsa-miR-200c-3p
hsa-miR-1307-5p	0.965	0.7833134	-0.26331	hsa-miR-1307-5p
hsa-miR-567	0.965	0.7860625	-0.13954	hsa-miR-567
hsa-miR-542-5p	0.965	0.7879731	-0.20541	hsa-miR-542-5p
hsa-miR-566	0.965	0.7894711	0.1991	hsa-miR-566
hsa-miR-224-5p	0.965	0.7907821	0.11411	hsa-miR-224-5p
hsa-let-7a-5p	0.965	0.7907966	0.0488	hsa-let-7a-5p
hsa-miR-584-5p	0.965	0.7916967	0.20718	hsa-miR-584-5p
hsa-miR-99b-5p	0.965	0.793379	-0.15463	hsa-miR-99b-5p
hsa-miR-139-5p	0.965	0.7941407	-0.21635	hsa-miR-139-5p
hsa-miR-1306-5p	0.965	0.7949433	-0.19013	hsa-miR-1306-5p
hsa-miR-608	0.965	0.7955144	0.19786	hsa-miR-608
hsa-miR-1261	0.965	0.795648	0.23091	hsa-miR-1261
hsa-miR-520d-3p	0.965	0.7964824	-0.1835	hsa-miR-520d-3p
hsa-miR-1910-5p	0.965	0.7977945	0.09226	hsa-miR-1910-5p
hsa-miR-561-5p	0.965	0.7995926	-0.25017	hsa-miR-561-5p
POS_B	0.965	0.799709	0.04136	
hsa-miR-99a-5p	0.965	0.8020199	0.07339	hsa-miR-99a-5p
hsa-miR-151a-5p	0.965	0.8025734	-0.12902	hsa-miR-151a-5p
hsa-miR-324-3p	0.965	0.8047609	-0.14751	hsa-miR-324-3p
hsa-miR-450a-5p	0.965	0.8057214	-0.22964	hsa-miR-450a-5p
hsa-miR-512-5p	0.965	0.806011	0.08757	hsa-miR-512-5p
hsa-miR-616-3p	0.965	0.8081883	-0.20404	hsa-miR-616-3p
hsa-miR-125a-3p	0.965	0.8086117	-0.19426	hsa-miR-125a-3p
hsa-miR-514a-3p	0.965	0.8107263	0.06694	hsa-miR-514a-3p
hsa-miR-758-3p+hsa-miR-411-3p	0.965	0.8111638	0.16777	hsa-miR-758-3p+hsa-miR-411-3p
hsa-miR-518f-3p	0.965	0.8147938	-0.19892	hsa-miR-518f-3p
hsa-miR-371a-5p	0.965	0.8167913	0.21434	hsa-miR-371a-5p
RPL19	0.965	0.8188914	-0.06363	
hsa-miR-1197	0.965	0.8193264	0.11747	hsa-miR-1197
hsa-miR-365a-3p+hsa-miR-365b-3p	0.965	0.819551	-0.13765	hsa-miR-365a-3p+hsa-miR-365b-3p
hsa-miR-423-3p	0.965	0.8197455	-0.20431	hsa-miR-423-3p
hsa-miR-644a	0.965	0.8213575	-0.09327	hsa-miR-644a
hsa-miR-548j-3p	0.965	0.8217832	0.09028	hsa-miR-548j-3p
hsa-miR-127-5p	0.965	0.8221683	0.05335	hsa-miR-127-5p
hsa-miR-1298-5p	0.965	0.8222005	-0.19764	hsa-miR-1298-5p
hsa-miR-1289	0.965	0.8228046	-0.18171	hsa-miR-1289
hsa-miR-1268a	0.965	0.8242739	0.19854	hsa-miR-1268a
hsa-miR-6724-5p	0.965	0.8243627	0.22047	hsa-miR-6724-5p
hsa-miR-9-5p	0.965	0.8255339	0.08107	hsa-miR-9-5p
hsa-miR-4421	0.965	0.8271265	-0.10189	hsa-miR-4421
hsa-miR-1293	0.965	0.8290865	-0.19169	hsa-miR-1293
hsa-miR-491-5p	0.965	0.8297392	0.0611	hsa-miR-491-5p
hsa-miR-665	0.965	0.8300828	-0.18548	hsa-miR-665
hsa-miR-215-5p	0.965	0.8323844	0.10637	hsa-miR-215-5p
hsa-miR-3185	0.965	0.8334577	-0.04232	hsa-miR-3185
hsa-miR-381-3p	0.965	0.8343285	0.16816	hsa-miR-381-3p
hsa-miR-3180-3p	0.965	0.8344572	0.1982	hsa-miR-3180-3p
hsa-miR-548ah-5p	0.967	0.8373964	0.07942	hsa-miR-548ah-5p
hsa-miR-4451	0.9684	0.840584	-0.18902	hsa-miR-4451
hsa-miR-346	0.9684	0.8426154	0.12167	hsa-miR-346
hsa-miR-374a-3p	0.9684	0.8430325	-0.17197	hsa-miR-374a-3p
hsa-miR-499b-3p	0.9684	0.845433	-0.14695	hsa-miR-499b-3p
hsa-miR-381-5p	0.9684	0.8456538	-0.07758	hsa-miR-381-5p
hsa-miR-1266-5p	0.9684	0.8460267	-0.1734	hsa-miR-1266-5p
hsa-miR-141-3p	0.9684	0.8467455	0.17557	hsa-miR-141-3p
hsa-miR-190b	0.9684	0.848242	-0.15973	hsa-miR-190b
hsa-miR-7-5p	0.9684	0.8513823	-0.11736	hsa-miR-7-5p
hsa-miR-330-3p	0.9684	0.8524068	-0.04244	hsa-miR-330-3p
hsa-miR-412-3p	0.9684	0.8525179	0.08408	hsa-miR-412-3p
hsa-miR-514b-5p	0.9684	0.8535286	0.07778	hsa-miR-514b-5p
